Lp.;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo
7907;RUDKI 12/4;62-240;RUDKI;bd
7908;JANA PAWŁA II 4/7;62-300;WRZEŚNIA;bd
7909;PIEKOSZOWSKA 43/38;25-735;KIELCE;bd
7910;ALEKSANDRA FREDRY 16A;33-100;TARNÓW;bd
7911;JANKOW ODOLNE 39/2;62-200;GNIEZNO;bd
7912;SUŁKÓW 21;48-120;SUŁKÓW;bd
7913;SUŁKÓW 21;48-120;SUŁKÓW;bd
7914;KRÓTKA 3;42-583;BOBROWNIKI;bd
7915;LIPÓWKA 28;13-200;LIPÓWKA;bd
7916;CZERWONA 3/10;70-781;SZCZECIN;bd
7917;KONSTANTEGO CIOŁKOWSKIEGO 6C/5;80-463;GDAŃSK;bd
7918;ŁAGIEWNIKI 56/10;80-855;GDAŃSK;bd
7919;NOWE ŻUKOWICE 88A;33-151;NOWA JASTRZĄBKA;bd
7920;MASŁOMĘCZ 12;22-500;MASŁOMĘCZ;bd
7921;ZYGMUNTA AUGUSTA 28/6;20-283;LUBLIN;bd
7922;NOWY MODLIN 4;05-180;NOWY MODLIN;bd
7923;PODGÓRNA 2B;83-207;KOKOSZKOWY;bd
7924;TOPOLOWA 93;05-180;POMIECHÓWEK;bd
7925;GENERAŁA JÓZEFA HALLERA 17/16;84-120;WŁADYSŁAWOWO;bd
7926;AL. ARMII KRAJOWEJ 4/10;27-200;STARACHOWICE;bd
7927;WESTERPLATTE 10/3;10-446;OLSZTYN;bd
7928;OGRODOWA 31;38-532;JAĆMIERZ;bd
7929;FLORIANA 32;34-116;MIEJSCE;bd
7930;BIERNATKI 32;59-430;BIERNATKI;bd
7931;OSIEDLE MARSZAŁKA PIŁSUDSKIEGO 1/1;37-500;JAROSŁAW;bd
7932;SZLATYN 7;22-664;SZLATYN;bd
7933;SZLATYN 7;22-664;SZLATYN;bd
7934;POSADÓW 76;22-652;TELATYN;bd
7935;OGRODOWA 2;88-160;JANIKOWO;bd
7936;JEDNOŚCI NARODOWEJ 209/16;50-303;WROCŁAW;bd
7937;SWOBODNA 9/17;15-756;BIAŁYSTOK;bd
7938;PEOWIAKÓW 52/22;22-400;ZAMOŚĆ;bd
7939;CISÓW LAS 8;37-433;BOJANÓW;bd
7940;LEGIONÓW POLSKICH 125/46;41-300;DĄBROWA GÓRNICZA;bd
7941;JANA PAWŁA II 19 A/35;06-100;PUŁTUSK;bd
7942;JULIUSZA SŁOWACKIEGO 9/80;77-400;ZŁOTÓW;bd
7943;CHOPINA 8/6;76-200;SŁUPSK;bd
7944;LUDWIKA MIEROSŁAWSKIEGO 16/12;85-654;BYDGOSZCZ;bd
7945;GDAŃSKA 21;77-100;BYTÓW;bd
7946;ROLNICZA 6A;42-248;PRZYRÓW;bd
7947;LEŚNA 22/12;41-500;CHORZÓW;bd
7948;SŁONECZNA 10;47-411;RUDNIK;bd
7949;KORZENNA 7;91-857;ŁÓDŹ;bd
7950;TURKUSOWA 25/2;72-005;WARZYMICE;bd
7951;BESIEKIERZ NAWOJOWY 44;95-001;BESIEKIERZ NAWOJOWY;bd
7952;ŚWIĘTOKRZYSKA 34/24;62-200;GNIEZNO;bd
7953;ŚLĄSKA 72/19;81-304;GDYNIA;bd
7954;LUDWIKA ZAMENHOFA 10/44;81-218;GDYNIA;bd
7955;ZAKRZEWO 5/2;62-270;ZAKRZEWO;bd
7956;ASNYKA 5/1;21-500;BIAŁA PODLASKA;bd
7957;RACIBORSKA 59;48-130;KIETRZ;bd
7958;RACIBORSKA 59;48-130;KIETRZ;bd
7959;JODŁOWA 1;34-335;KRZYŻOWA;bd
7960;POLNA 1;74-100;CHWARSTNICA;bd
7961;DEREŹNIA ZAGRODY 1D;23-400;DEREŹNIA-ZAGRODY;bd
7962;DEREŹNIA ZAGRODY 1D;23-400;DEREŹNIA-ZAGRODY;bd
7963;ŁUŻYCKA 10/139;41-902;BYTOM;bd
7964;ZAMŁYNIE 36A/2;98-220;ZDUŃSKA WOLA;bd
7965;BRODNIKI 1/4;72-300;GRYFICE;bd
7966;ZIELONY TRÓJKĄT 26/1;80-869;GDAŃSK;bd
7967;ALINY 6/10;83-000;PRUSZCZ GDAŃSKI;bd
7968;KONOPNICKIEJ 16/11;26-110;SKARŻYSKO-KAMIENNA;bd
7969;HUTNICZA 9A;45-643;OPOLE;bd
7970;MIKOŁOWSKA 1D;43-173;ŁAZISKA GÓRNE;bd
7971;DASZYŃSKIEGO 13A/28;11-500;GIŻYCKO;bd
7972;STAROWIEJSKA 84;26-900;KOZIENICE;bd
7973;GRANICZNA 89;41-300;DĄBROWA GÓRNICZA;bd
7974;PŁOCKA 21;09-533;SŁUBICE;bd
7975;RETKIŃSKA 77A/8;94-004;ŁÓDŹ;bd
7976;OKRĘŻNA 11;74-106;ŻELISŁAWIEC;bd
7977;BÓR II 1A/2;43-230;GOCZAŁKOWICE-ZDRÓJ;bd
7978;GENERAŁA STANISŁAWA MACZKA 9/II/6;41-943;PIEKARY ŚLĄSKIE;bd
7979;GEN. WŁADYSŁAWA SIKORSKIEGO 47/5;07-410;OSTROŁĘKA;bd
7980;PIOTRA SOBOCZYŃSKIEGO 2A/1;11-700;MRĄGOWO;bd
7981;SZPIKOŁOSY 16;22-500;SZPIKOŁOSY;bd
7982;WOJSKA POLSKIEGO 6/11;64-100;LESZNO;bd
7983;STAFFA 6/1;26-110;SKARŻYSKO-KAMIENNA;bd
7984;STAFFA 6/1;26-110;SKARŻYSKO-KAMIENNA;bd
7985;TOPOLOWA 1B;16-123;KUŹNICA;bd
7986;SPÓŁDZIELCÓW 12/17;62-700;TUREK;bd
7987;KARD. STEFANA WYSZYŃSKIEGO 44/35;72-010;POLICE;bd
7988;KOPERNIKA 3/32;26-900;KOZIENICE;bd
7989;NOWY BOREK 112;36-030;BŁAŻOWA DOLNA;bd
7990;PRZEMYSKA 55/9;80-180;GDAŃSK;bd
7991;KRASIŃSKIEGO 21/17;26-110;SKARŻYSKO-KAMIENNA;bd
7992;WITOSA 9/7;72-410;GOLCZEWO;bd
7993;RDESTOWA 156A/6;81-577;GDYNIA;bd
7994;KOŚCIENIEWICZE 72;21-530;KOŚCIENIEWICZE;bd
7995;KOŚCIENIEWICZE 72;21-530;KOŚCIENIEWICZE;bd
7996;ŻYWIECKA 9A/6;80-426;GDAŃSK;bd
7997;BRZESKA 23;21-532;ŁOMAZY;bd
7998;JANA III SOBIESKIEGO 5B/2;43-170;ŁAZISKA GÓRNE;bd
7999;SCIBORZYCE WIELKIE 167;48-130;ŚCIBORZYCE WIELKIE;bd
8000;SCIBORZYCE WIELKIE 167;48-130;ŚCIBORZYCE WIELKIE;bd
8001;WYZWOLENIA 63/12;85-791;BYDGOSZCZ;bd
8002;RÓWNOLEGŁA 31/41;42-200;CZĘSTOCHOWA;bd
8003;GMINNA 3;42-583;BOBROWNIKI;bd
8004;SZYMBORSKA 12/1;88-100;INOWROCŁAW;bd
8005;SZYMBORSKA 12/1;88-100;INOWROCŁAW;bd
8006;SZYMBORSKA 12/1;88-100;INOWROCŁAW;bd
8007;MIŁOGOSTOWICE 51;59-216;MIŁOGOSTOWICE;bd
8008;NATOLIN 85;92-701;NATOLIN;bd
8009;SZPITALNA 33/8;83-332;DZIERŻĄŻNO;bd
8010;ZBIORCZA 21/14;92-328;ŁÓDŹ;bd
8011;ZWYCIĘSTWA 2-4/31;45-854;OPOLE;bd
8012;WOLA PRZEMYKOWSKA 127A;32-821;WOLA PRZEMYKOWSKA;bd
8013;ALEJE JANA PAWŁA II 19/4;64-100;LESZNO;bd
8014;ZARASZÓW -KOLONIA 36;23-100;ZARASZÓW-KOLONIA;bd
8015;ZARASZÓW -KOLONIA 36;23-100;ZARASZÓW-KOLONIA;bd
8016;STANISŁAWA AUGUSTA 18A/58;37-700;PRZEMYŚL;bd
8017;PRZEDEDWORZE 7;26-020;CHMIELNIK;bd
8018;SPORTOWA 8;32-607;POLANKA WIELKA;bd
8019;V POPRZECZNA 6/3;04-611;WARSZAWA;bd
8020;ARMII KRAJOWEJ 39/6;58-130;ŻARÓW;bd
8021;OSIPY LEPERTOWIZNA 12;18-200;OSIPY-LEPERTOWIZNA;bd
8022;GABRIELA NARUTOWICZA 9A/21;05-825;GRODZISK MAZOWIECKI;bd
8023;POBOŻNEGO 2;42-457;WYSOKA;bd
8024;TRAUGUTTA 26/59;43-502;CZECHOWICE-DZIEDZICE;bd
8025;STUDZIANKI PANCERNE 17;26-903;GŁOWACZÓW;bd
8026;STUDZIANKI PANCERNE 17;26-903;GŁOWACZÓW;bd
8027;LIPIENICE DOLNE 39A;26-502;LIPIENICE DOLNE;bd
8028;LIPIENICE DOLNE 39A;26-502;LIPIENICE DOLNE;bd
8029;POMORSKA 9/31;84-230;RUMIA;bd
8030;SUWALSKA 30/71;03-252;WARSZAWA;bd
8031;MŚCIWOJA 30/1;83-300;KARTUZY;bd
8032;TADEUSZA ZIELIŃSKIEGO 22/26;53-534;WROCŁAW;bd
8033;PIASKI 4;39-200;DĘBICA;bd
8034;PIASKI 4;39-200;DĘBICA;bd
8035;SŁONECZNE 9/61;27-400;OSTROWIEC ŚWIĘTOKRZYSKI;bd
8036;FENIKOWSKIEGO 25/100;84-200;WEJHEROWO;bd
8037;GORCZAŃSKA 27;34-700;RABKA-ZDRÓJ;bd
8038;GĘSIA 4;27-660;KOPRZYWNICA;bd
8039;WIEJSKA 21;44-362;BLUSZCZÓW;bd
8040;SŁONECZNA 22;37-500;JAROSŁAW;bd
8041;STRZEMIESZYCKA 217;42-530;DĄBROWA GÓRNICZA;bd
8042;WÓDKI 9A/1;62-309;WÓDKI;bd
8043;ŁAGIEWNICKA 80/98/371;91-456;ŁÓDŹ;bd
8044;OSIEDLE PRZYJAŹNI 6/26;61-684;POZNAŃ;bd
8045;NEFRYTOWA 29/9;30-798;KRAKÓW;bd
8046;MALIKÓW 67;25-639;KIELCE;bd
8047;PRZYJAŹNI 34/3;72-009;POLICE;bd
8048;KOCHANOWSKIEGO 29;44-230;CZERWIONKA-LESZCZYNY;bd
8049;WIŚLANA 33/15;44-119;GLIWICE;bd
8050;FRANCISZKA FENIKOWSKIEGO 23/22;84-200;WEJHEROWO;bd
8051;GODOWA 33;38-100;GODOWA;bd
8052;KOBIERZYŃSKA 58/23;30-365;KRAKÓW;bd
8053;FLORENCJA 28;05-300;MIŃSK MAZOWIECKI;bd
8054;KOPERNIKA 3/61;88-400;ŻNIN;bd
8055;KONSTYTUCJI 3 MAJA 1/8A;26-900;KOZIENICE;bd
8056;DĄBRÓWKI 5/19;86-300;GRUDZIĄDZ;bd
8057;DZ.NREW 139/32;26-900;CHINÓW;bd
8058;WOLNOŚCI 10/7;41-700;RUDA ŚLĄSKA;bd
8059;SANDOMIERSKA 39/21;85-830;BYDGOSZCZ;bd
8060;TADEUSZA KOŚCIUSZKI 6/25;21-040;ŚWIDNIK;bd
8061;BARTOSZA GŁOWACKIEGO 3/10;21-040;ŚWIDNIK;bd
8062;WINCENTEGO STYSIA 26/3;53-528;WROCŁAW;bd
8063;LIPINY GÓRNE-LEWKI 37;23-423;LIPINY GÓRNE-LEWKI;bd
8064;WANIEWO 33;18-218;SOKOŁY;bd
8065;WANIEWO 33;18-218;SOKOŁY;bd
8066;POŁANIECKA 38;62-800;KALISZ;bd
8067;BOCIANÓW 4/3;40-004;KATOWICE;bd
8068;WSZEMBÓRZ 33;62-306;WSZEMBÓRZ;bd
8069;OBROŃCÓW WESTERPLATTE 1A/8;41-710;RUDA ŚLĄSKA;bd
8070;SKOROSZÓW 40;55-100;TRZEBNICA;bd
8071;NOWY ŚWIAT 38D/82;20-418;LUBLIN;bd
8072;GĘSIA 24;27-640;KLIMONTÓW;bd
8073;PIASECZNO - DZIAŁKA NR EW. 159/3;21-075;PIASECZNO;bd
8074;DZIEDZICÓW 6;34-350;CIĘCINA;bd
8075;BYTKOWSKA 24/4;41-103;SIEMIANOWICE ŚLĄSKIE;bd
8076;UL. KRAKOWSKA 5/10;31-062;KRAKÓW;bd
8077;RATUSZOWA 5/4;12-250;ORZYSZ;bd
8078;KOSOWSKA 38/29;26-616;RADOM;bd
8079;UL. HALLERA 10/1;30-694;KRAKÓW;bd
8080;TORUŃSKA 18/26/20;95-200;PABIANICE;bd
8081;WIDOK 104/27;62-800;KALISZ;bd
8082;MALINOWA DZIAŁKA NR 644/42;83-304;PRZODKOWO;bd
8083;POKOJU 1A/4;84-100;PUCK;bd
8084;BUDOWLANYCH 8/10;62-200;GNIEZNO;bd
8085;STARA STOCZNIA 2/28;80-862;GDAŃSK;bd
8086;DZIAŁKOWA 21;30-854;KRAKÓW;bd
8087;KIELCECKA 21;26-004;BIELINY;bd
8088;EMILII GIERCZAK 10/10;75-333;KOSZALIN;bd
8089;SAKÓWKO 9/4;14-400;SAKÓWKO;bd
8090;NADRZECZNA 21;62-571;LISIEC WIELKI;bd
8091;RYBITWY 93;88-170;RYBITWY;bd
8092;RYBITWY 93;88-170;RYBITWY;bd
8093;RYBITWY 93;88-170;RYBITWY;bd
8094;OSIEDLE PRZY ARCE 2/10;31-845;KRAKÓW;bd
8095;ZŁOTA 20/16;62-800;KALISZ;bd
8096;STEFANA ROWECKIEGO 10B/6;72-010;POLICE;bd
8097;KOLARSKA 2/12;64-500;SZAMOTUŁY;bd
8098;EDWARDA ABRAMOWSKIEGO 41/11;90-355;ŁÓDŹ;bd
8099;KUBUSIA PUCHATKA 8/2;08-110;ŻABOKLIKI;bd
8100;WŁOŚCIAŃSKA 55/8;70-021;SZCZECIN;bd
8101;GRABSKIEGO 20/7;55-220;JELCZ-LASKOWICE;bd
8102;SPIŻOWA 20/22/5;53-442;WROCŁAW;bd
8103;LEONARDA 13/9;20-625;LUBLIN;bd
8104;ALEJA GRUNWALDZKA 3/7;82-300;ELBLĄG;bd
8105;HUTNICZA 24/2;54-139;WROCŁAW;bd
8106;ZAWISZY CZARNEGO 17;21-080;GARBÓW;bd
8107;JANOWSKA 1B/5;62-510;KONIN;bd
8108;LAUBITZA 24/11;62-200;GNIEZNO;bd
8109;KOŚCIUSZKI 5A;42-454;NIEGOWONICE;bd
8110;GABRIELI ZAPOLSKIEJ 9;83-110;TCZEW;bd
8111;CHABRÓW 20/2;45-221;OPOLE;bd
8112;GILÓW 9;26-120;GILÓW;bd
8113;ARMII KRAJOWEJ 32/9;14-500;BRANIEWO;bd
8114;TRZCINICA 184;38-207;PRZYSIEKI;bd
8115;TRZCINICA 184;38-207;PRZYSIEKI;bd
8116;WIŚNIOWA 24;38-200;JASŁO;bd
8117;KOLEJOWA 42/5;60-719;POZNAŃ;bd
8118;TOPOLOWA 2/6;63-100;PSARSKIE;bd
8119;NARCYZOWA 9/66;81-653;GDYNIA;bd
8120;ABRAHAMA 20A;84-230;RUMIA;bd
8121;GŁÓWNA 24;83-200;KOTEŻE;bd
8122;KONSTYTUCJI 88/10;41-906;BYTOM;bd
8123;KIELNAROWA 183;36-020;KIELNAROWA;bd
8124;STYCZYŃSKIEGO 6A/1;41-708;RUDA ŚLĄSKA;bd
8125;NIECAŁA 4;27-200;STARACHOWICE;bd
8126;BARWAŁD GÓRNY 341;34-130;KALWARIA ZEBRZYDOWSKA;bd
8127;SIENKIEWICZA 17/9;24-100;PUŁAWY;bd
8128;GRABOWSKIEJ 33/5;58-304;WAŁBRZYCH;bd
8129;HENRYKA JORDANA 12;43-245;STUDZIONKA;bd
8130;HENRYKA JORDANA 12;43-245;STUDZIONKA;bd
8131;HENRYKA JORDANA 12;43-245;STUDZIONKA;bd
8132;POWSTAŃCÓW WLKP 10;64-600;OBORNIKI;bd
8133;POZNAŃSKA 24/2;62-200;GNIEZNO;bd
8134;STASZICA 8C/20;66-400;GORZÓW WIELKOPOLSKI;bd
8135;TADEUSZA KOŚCIUSZKI 38D/25;07-300;OSTRÓW MAZOWIECKA;bd
8136;ZEBRZYDOWICKA 46;43-252;PIELGRZYMOWICE;bd
8137;OSIEDLE PAWLIKOWSKIEGO 20B/32;44-240;ŻORY;bd
8138;WROCŁAWSKA 229/3;59-220;LEGNICA;bd
8139;OS.SIKORSKIEGO 3/16;77-300;CZŁUCHÓW;bd
8140;OSIEDLE KOPERNIKA 36;34-300;ŻYWIEC;bd
8141;ŚW . ANNY 4/11;58-150;STRZEGOM;bd
8142;CEDROWA 6/3;52-112;WROCŁAW;bd
8143;KS. KARDYNAŁA AUGUSTA HLONDA 8/6;41-412;MYSŁOWICE;bd
8144;FRYDERYKA LEMPE 11;27-200;STARACHOWICE;bd
8145;SZYMBORNO 25;86-253;KIJEWO KRÓLEWSKIE;bd
8146;HOLENDERSKA 12/7;64-100;LESZNO;bd
8147;ZIELONA 21;08-540;STĘŻYCA;bd
8148;ZIELONA 21;08-540;STĘŻYCA;bd
8149;MORAWKA 8/12;57-550;STRONIE ŚLĄSKIE;bd
8150;WOSKRZENICE DUŻE 30;21-500;WOSKRZENICE DUŻE;bd
8151;ORZESZKOWEJ 2/3;44-238;CZERWIONKA-LESZCZYNY;bd
8152;KOŚCIELNA 21/1;74-100;GRYFINO;bd
8153;PISZCZAC PIERWSZY 15;21-530;PISZCZAC PIERWSZY;bd
8154;PISZCZAC PIERWSZY 15;21-530;PISZCZAC PIERWSZY;bd
8155;PISZCZAC PIERWSZY 15;21-530;PISZCZAC PIERWSZY;bd
8156;SACZYN 21;62-872;SACZYN;bd
8157;PIONIERÓW 115;47-330;ZDZIESZOWICE;bd
8158;STANISŁAWÓW 7;09-500;STANISŁAWÓW;bd
8159;POMORSKA 31/57;84-230;RUMIA;bd
8160;NOWY TARG 38A/7;82-410;STARY TARG;bd
8161;HUGONA KOŁŁĄTAJA 47/90;24-100;PUŁAWY;bd
8162;KAROLA SZYMANOWSKIEGO 53A/12;47-205;KĘDZIERZYN-KOŹLE;bd
8163;ROMANA DMOWSKIEGO 38/4;60-221;POZNAŃ;bd
8164;POGODNA 4;37-700;PRZEMYŚL;bd
8165;POGODNA 4;37-700;PRZEMYŚL;bd
8166;CHEŁMSKA 20/7;45-401;OPOLE;bd
8167;TYLNA 1;24-173;MARKUSZÓW;bd
8168;ROMANA FELIŃSKIEGO 1/10;81-578;GDYNIA;bd
8169;POMORSKA 15/17;50-216;WROCŁAW;bd
8170;MACIEJA PALACZA 136/21;60-278;POZNAŃ;bd
8171;SZCZAWIŃSKA 10/12A;95-100;ZGIERZ;bd
8172;CIENISTA 757;43-374;BUCZKOWICE;bd
8173;STEFANA OKRZEI 20/32;22-300;KRASNYSTAW;bd
8174;MARCINKOWO GÓRNE 10/4;88-410;MARCINKOWO GÓRNE;bd
8175;OSIEDLE OGRODY 22/58;27-400;OSTROWIEC ŚWIĘTOKRZYSKI;bd
8176;PASTERNIK 25;59-706;PASTERNIK;bd
8177;CZESTKÓW-OSIEDLE 23;98-113;CZESTKÓW-OSIEDLE;bd
8178;CZESTKÓW-OSIEDLE 23;98-113;CZESTKÓW-OSIEDLE;bd
8179;KS. JERZEGO POPIEŁUSZKI 17/90;01-595;WARSZAWA;bd
8180;ZIELONA 48/53;98-220;ZDUŃSKA WOLA;bd
8181;KSIĘDZA NORBERTA BONCZYKA 43/12;45-703;OPOLE;bd
8182;NOWOWIEJSKIEGO 2/3;12-100;SZCZYTNO;bd
8183;DZIEWIĄTKA 13;62-704;DZIEWIĄTKA;bd
8184;CEREKWICA 35A;88-400;CEREKWICA;bd
8185;SOSNOWA 14/9;42-470;SIEWIERZ;bd
8186;OBROŃCÓW WESTERPLATTE 7/56;42-218;CZĘSTOCHOWA;bd
8187;ZACISZNA 5;08-530;DĘBLIN;bd
8188;ŁAZY 378;21-400;ŁAZY;bd
8189;ŁAZY 378;21-400;ŁAZY;bd
8190;JANA KILIŃSKIEGO 3/12;21-040;ŚWIDNIK;bd
8191;ALEJA POWSTAŃCÓW WIELKOPOLSKICH 51/47;85-090;BYDGOSZCZ;bd
8192;WITERADÓW 21;32-300;WITERADÓW;bd
8193;DWORCOWA 34/50;43-170;ŁAZISKA GÓRNE;bd
8194;PASIEKA 1/2;21-230;SOSNOWICA;bd
8195;LESZKA CZARNEGO 15/32;97-500;RADOMSKO;bd
8196;LASKI 98;57-250;ZŁOTY STOK;bd
8197;LASKI 98;57-250;ZŁOTY STOK;bd
8198;MIEDZIOWA 11/28;41-922;RADZIONKÓW;bd
8199;RÓŻANA 3;32-500;CHRZANÓW;bd
8200;RÓŻANA 3;32-500;CHRZANÓW;bd
8201;JANA MATEJKI 45A/26;72-600;ŚWINOUJŚCIE;bd
8202;STARTOWA 17B/14;80-461;GDAŃSK;bd
8203;ZYGMUNTOWSKA 17B/4;78-100;KOŁOBRZEG;bd
8204;LUDWIKA WARYŃSKIEGO 51/144;85-320;BYDGOSZCZ;bd
8205;PERŁA 89;32-828;PERŁA;bd
8206;PODGÓRSKA 38;38-524;BESKO;bd
8207;BATALIONÓW CHŁOPSKICH 7/24;94-058;ŁÓDŹ;bd
8208;GEN. JÓZEFA BEMA 3/4;78-100;KOŁOBRZEG;bd
8209;OLENDRY 14;16-424;FILIPÓW;bd
8210;ROBOTNICZA 10/5;22-170;REJOWIEC FABRYCZNY;bd
8211;OGRODOWA 17;44-206;RYBNIK;bd
8212;CHODÓW 39/3;62-652;CHODÓW;bd
8213;ZABIERZÓW BOCHEŃSKI 100;32-007;ZABIERZÓW BOCHEŃSKI;bd
8214;TRZEBUNIA 357;32-438;TRZEBUNIA;bd
8215;KATOWICKA 5C;43-200;PSZCZYNA;bd
8216;BOENIGKA 38/9;10-686;OLSZTYN;bd
8217;KASPRZAKA 4/8;41-303;DĄBROWA GÓRNICZA;bd
8218;BOLESŁAWA PRUSA 11/21;42-207;CZĘSTOCHOWA;bd
8219;ŻARNÓWKA 91;34-220;MAKÓW PODHALAŃSKI;bd
8220;ŻARNÓWKA 91;34-220;MAKÓW PODHALAŃSKI;bd
8221;MAZURSKA 9;12-120;DŹWIERZUTY;bd
8222;MAZURSKA 9;12-120;DŹWIERZUTY;bd
8223;KAZIMIERZA WIELKIEGO 3/17;11-500;GIŻYCKO;bd
8224;PRUSA 5/58;39-400;TARNOBRZEG;bd
8225;DAKTYLOWA 3/10;55-080;SMOLEC;bd
8226;SPORTOWA 7/5;43-600;JAWORZNO;bd
8227;KOLANKOWO 28;87-600;KOLANKOWO;bd
8228;KOLANKOWO 28;87-600;KOLANKOWO;bd
8229;KOLANKOWO 28;87-600;KOLANKOWO;bd
8230;BIELSKA 178;43-340;KOZY;bd
8231;KOSZAROWA 13/5;62-300;WRZEŚNIA;bd
8232;BIELSKA 178A;43-340;KOZY;bd
8233;OSIEDLE WIDOKOWE 17/24;32-540;TRZEBINIA;bd
8234;CYPRIANA NORWIDA 21A/2;41-700;RUDA ŚLĄSKA;bd
8235;PLAC WOLNOŚCI 13A;07-430;MYSZYNIEC;bd
8236;ZOFII NAŁKOWSKIEJ 48/3;43-100;TYCHY;bd
8237;STANISŁAWA STASZICA 8;62-700;TUREK;bd
8238;STEFANA ŻEROMSKIEGO 4B/4;84-150;HEL;bd
8239;CMENTARNA 6;26-700;ZWOLEŃ;bd
8240;KURKOWA 25/12;50-210;WROCŁAW;bd
8241;SĘDOWICE 35;08-500;SĘDOWICE;bd
8242;SĘDOWICE 35;08-500;SĘDOWICE;bd
8243;IŁŻECKA 110;26-115;SKARŻYSKO KOŚCIELNE;bd
8244;IŁŻECKA 110;26-115;SKARŻYSKO KOŚCIELNE;bd
8245;TADEUSZA REJTANA 13/2;80-050;GDAŃSK;bd
8246;SZEROKA 5;18-400;ŁOMŻA;bd
8247;DOBIESZEWO 22/2;73-150;DOBIESZEWO;bd
8248;OS. PIASTOWSKIE 17/18;62-200;GNIEZNO;bd
8249;DOBIESZCZYZNA 93;63-210;ŻERKÓW;bd
8250;JACEWSKA 17/60;88-100;INOWROCŁAW;bd
8251;JACEWSKA 17/60;88-100;INOWROCŁAW;bd
8252;JACEWSKA 17/60;88-100;INOWROCŁAW;bd
8253;JACEWSKA 17/60;88-100;INOWROCŁAW;bd
8254;MAGAZYNOWA 6B/6;41-700;RUDA ŚLĄSKA;bd
8255;KSIĘCIA WŁADYSŁAWA OPOLSKIEGO 3/2;41-500;CHORZÓW;bd
8256;MIKOŁAJA REJA 13;66-225;SZCZANIEC;bd
8257;WOJSKA POLSKIEGO 75/17;86-105;ŚWIECIE;bd
8258;LISEWO 19;09-100;LISEWO;bd
8259;LISEWO 19;09-100;LISEWO;bd
8260;KRÓLOWEJ JADWIGI 4A/6;43-600;JAWORZNO;bd
8261;SKRUDA 16;05-320;SKRUDA;bd
8262;OSIEDLOWA 6/14;85-794;BYDGOSZCZ;bd
8263;BUŚNO 84;22-135;BUŚNO;bd
8264;HENRYKA SUCHARSKIEGO 6;62-700;TUREK;bd
8265;KS. MAZURKIEWICZA 151;32-800;JASIEŃ;bd
8266;KS. MAZURKIEWICZA 151;32-800;JASIEŃ;bd
8267;POR. HALSZKI 5/22;30-611;KRAKÓW;bd
8268;FOCHA 42A/11;42-217;CZĘSTOCHOWA;bd
8269;OS. EDWARDA RACZYŃSKIEGO 10/23;62-020;SWARZĘDZ;bd
8270;LEŚNA 15/24;13-200;DZIAŁDOWO;bd
8271;TOPOLOWA B/N;34-100;WADOWICE;bd
8272;KOLEJOWA 19/10;75-108;KOSZALIN;bd
8273;ŚLĄSKA 36/4;81-319;GDYNIA;bd
8274;JANKI BRYLA 10 A/21;81-577;GDYNIA;bd
8275;WROCŁAWSKA 26A;55-080;KĄTY WROCŁAWSKIE;bd
8276;OSIEDLE KRAKOWIAKÓW 10/6;31-962;KRAKÓW;bd
8277;MICKIEWICZA 23A;84-230;RUMIA;bd
8278;KANARKOWA 7;86-061;BRZOZA;bd
8279;GUSTAWA MORCINKA 16/52;41-303;DĄBROWA GÓRNICZA;bd
8280;MICKIEWICZA 23;84-230;RUMIA;bd
8281;HENRYKA JORDANA 11;43-245;STUDZIONKA;bd
8282;MICKIEWICZA 23/2;84-230;RUMIA;bd
8283;HERKULESA 30/1;80-299;GDAŃSK;bd
8284;HERKULESA 30/1,/30/2;80-299;GDAŃSK;bd
8285;NOWY LAS 44;48-340;GŁUCHOŁAZY;bd
8286;PIASTOWSKA 6/34;97-500;RADOMSKO;bd
8287;PAPRYKOWA 10/2;81-198;DĘBOGÓRZE;bd
8288;STUDZIENNA 1/3;53-304;WROCŁAW;bd
8289;GÓRNA 1/1;62-800;KALISZ;bd
8290;SUMIN 96;87-620;SUMIN;bd
8291;MIKOŁAJA KOPERNIKA 10/5;39-400;TARNOBRZEG;bd
8292;DĄBROWSKIEGO 86/57;02-571;WARSZAWA;bd
8293;WŁADYSŁAWA ŁOKIETKA 5/7;41-800;ZABRZE;bd
8294;STORCZYKOWA 2;16-300;AUGUSTÓW;bd
8295;STORCZYKOWA 2;16-300;AUGUSTÓW;bd
8296;STORCZYKOWA 2;16-300;AUGUSTÓW;bd
8297;LUDWIKA ZAMENHOFA 44/3;72-010;POLICE;bd
8298;WĄSKA 2C/16;64-423;LUBOSZ;bd
8299;KALINOWA 13/6;15-809;BIAŁYSTOK;bd
8300;ODECHOWIEC 79;26-640;ODECHOWIEC;bd
8301;PRZEDWIOŚNIE 8/3;44-119;GLIWICE;bd
8302;IGNACEGO ŁUKASIEWICZA 59;72-310;PŁOTY;bd
8303;NOWY GLINNIK 10/11;97-217;LUBOCHNIA;bd
8304;1 MAJA 23/4;41-706;RUDA ŚLĄSKA;bd
8305;BORYSÓW 18;24-103;BORYSÓW;bd
8306;BORYSÓW 18;24-103;BORYSÓW;bd
8307;3 MAJA 4/12;95-200;PABIANICE;bd
8308;SZARYCH SZEREGÓW 4/25;82-300;ELBLĄG;bd
8309;BORYSÓW 18;24-103;BORYSÓW;bd
