Lp.;Nr_umowy;Data.poczatku.okresu.ubezpieczenia;Data.konca.okresu.ubezpieczenia;SU_v_PML;Odnow;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo;Adres_Kraj;ReasekuracjaO;ReasekuracjaF
1485;M10317832204;04.08.2021;03.08.2022;430000;TAK;Haczowska 9;04-947;Warszawa;mazowieckie;Polska;1,2;NA
1486;M10317842804;27.07.2021;26.07.2022;340000;TAK;Literacka 31;97-200;Tomaszów Mazowiecki;łódzkie;Polska;1,2;NA
1487;M10317977504;27.07.2021;26.07.2022;230000;TAK;Gintrowskiego 47;02-697;Warszawa;mazowieckie;Polska;1,2;NA
1488;M1031801810;09.06.2021;08.06.2022;290000;TAK;Władysława Grabskiego 29;40-826;Katowice;śląskie;Polska;1,2;NA
1489;M10318130904;01.08.2021;31.07.2022;210000;TAK;Rąbino 8;78-331;Rąbino;zachodniopomorskie;Polska;1,2;NA
1490;M1031836010;17.10.2021;16.10.2022;340000;TAK;Krasiczyńska 5;03-379;Warszawa;mazowieckie;Polska;1,2;NA
1491;M10318520904;27.07.2021;26.07.2022;146000;TAK;Kryształowa 24;20-582;Lublin;lubelskie;Polska;1,2;NA
1492;M10318523104;01.08.2021;31.07.2022;150000;TAK;Wschodnia 30;22-170;Rejowiec Fabryczny;lubelskie;Polska;1,2;NA
1493;M1031853110;22.05.2021;21.05.2022;220000;TAK;Graniczna 20;59-700;Bolesławiec;dolnośląskie;Polska;1,2;NA
1494;M10318536504;29.07.2021;28.07.2022;121000;TAK;Szpitalna 7;60-584;Poznań;wielkopolskie;Polska;1,2;NA
1495;M1031854810;06.06.2021;05.06.2022;295000;TAK;Raciborska 16;30-358;Kraków;małopolskie;Polska;1,2;NA
1496;M1031866310;01.07.2021;30.06.2022;420000;TAK;Braci Leśnej 1D;05-090;Sękocin Stary;mazowieckie;Polska;1,2;NA
1497;M1031875510;01.06.2021;31.05.2022;70000;TAK;Os. Linin 31;05-530;Linin;mazowieckie;Polska;1,2;NA
1498;M10319211704;29.07.2021;28.07.2022;395000;TAK;Fabianowska 142F;62-052;Komorniki;wielkopolskie;Polska;1,2;NA
1499;M10319332304;27.07.2021;26.07.2022;5,00E+05;TAK;Nauczycielska 7;83-320;Sulęczyno;pomorskie;Polska;1,2;NA
1500;M10319482004;29.07.2021;28.07.2022;820000;TAK;Aleja Komisji Edukacji Narodowej 52;02-797;Warszawa;mazowieckie;Polska;1,2;NA
1501;M10319487304;02.08.2021;01.08.2022;165000;TAK;Na Stoku 45;80-874;Gdańsk;pomorskie;Polska;1,2;NA
1502;M10319489804;27.07.2021;26.07.2022;280000;TAK;Krańcowa 76A;20-356;Lublin;lubelskie;Polska;1,2;NA
1503;M1031988610;05.06.2021;04.06.2022;190000;TAK;Gen. Madalińskiego Antoniego Józefa 11;02-513;Warszawa;mazowieckie;Polska;1,2;NA
1504;M10320437904;09.08.2021;08.08.2022;330000;TAK;I. Krasińskiego 3;99-210;Uniejów;łódzkie;Polska;1,2;NA
1505;M1032079510;01.06.2021;31.05.2022;1,00E+05;TAK;Widok 12;66-400;Gorzów Wielkopolski;lubuskie;Polska;1,2;NA
1506;M1032087410;04.06.2021;03.06.2022;305000;TAK;Okurzałego Michała 11;00-910;Warszawa;mazowieckie;Polska;1,2;NA
1507;M1032162010;06.06.2021;05.06.2022;740000;TAK;Kraszewskiego 11;05-075;Warszawa-Wesoła;mazowieckie;Polska;1,2;NA
1508;M1032166710;04.06.2021;03.06.2022;185000;TAK;Tysiąclecia 8a;37-400;Nisko;podkarpackie;Polska;1,2;NA
1509;M1032205510;01.06.2021;31.05.2022;270000;TAK;Lazowa 19;91-496;Łódź;łódzkie;Polska;1,2;NA
1510;M10322296104;27.07.2021;26.07.2022;140000;TAK;ks. Jana Nepomucena Barabasza 12;43-502;Czechowice-Dziedzice;śląskie;Polska;1,2;NA
1511;M1032231210;08.06.2021;07.06.2022;540000;TAK;Aleja Komisji Edukacji Narodowej 53;02-797;Warszawa;mazowieckie;Polska;1,2;NA
1512;M10322370204;08.08.2021;07.08.2022;880000;TAK;Konrada Fiedlera 4c;85-796;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;NA
1513;M1032241410;27.05.2021;26.05.2022;3,00E+05;TAK;Porannej Rosy 94;62-023;Kamionki;wielkopolskie;Polska;1,2;NA
1514;M1032251210;16.07.2021;15.07.2022;470000;TAK;Chabrowa 14;01-934;Warszawa;mazowieckie;Polska;1,2;NA
1515;M1032283010;28.09.2021;27.09.2022;320000;TAK;Aluzyjna 25E;03-149;Warszawa;mazowieckie;Polska;1,2;NA
1516;M1032317110;01.08.2021;31.07.2022;120000;TAK;Jana z Kolna 8;80-864;Gdańsk;pomorskie;Polska;1,2;NA
1517;M1032317810;25.07.2021;24.07.2022;460000;TAK;Bolesławów 4A;97-438;Bolesławów;łódzkie;Polska;1,2;NA
1518;M1032318510;01.06.2021;31.05.2022;360000;TAK;Związku Walki Młodych 6;02-786;Warszawa;mazowieckie;Polska;1,2;NA
1519;M10323557704;27.07.2021;26.07.2022;499775;TAK;Jana Kazimierza 12;01-248;Warszawa;mazowieckie;Polska;1,2;NA
1520;M10323652404;01.09.2021;31.08.2022;3,00E+05;TAK;Odkryta 46A;03-140;Warszawa;mazowieckie;Polska;1,2;NA
1521;M1032368710;29.05.2021;28.05.2022;275000;TAK;Czarnieckiego 14;81-198;Pogórze;pomorskie;Polska;1,2;NA
1522;M10323898404;27.07.2021;26.07.2022;280000;TAK;ks. Juliana Chrościckiego 87A;02-414;Warszawa;mazowieckie;Polska;1,2;NA
1523;M1032396310;06.07.2021;05.07.2022;320000;TAK;Gagarina Jurija 17;00-753;Warszawa;mazowieckie;Polska;1,2;NA
1524;M1032397710;09.06.2021;08.06.2022;320000;TAK;Rzodkiewki 1;02-748;Warszawa;mazowieckie;Polska;1,2;NA
1525;M1032398710;15.07.2021;14.07.2022;375000;TAK;Liściasta 30;91-357;Łódź;łódzkie;Polska;1,2;NA
1526;M1032399410;21.06.2021;20.06.2022;90000;TAK;Poselska 12;95-070;Aleksandrów Łódzki;łódzkie;Polska;1,2;NA
1527;M10325444204;01.08.2021;31.07.2022;205000;TAK;Polna 18/20;00-625;Warszawa;mazowieckie;Polska;1,2;NA
1528;M1032560510;27.05.2021;26.05.2022;170000;TAK;Zejera 36;41-922;Radzionków;śląskie;Polska;1,2;NA
1529;M10325925704;18.08.2021;17.08.2022;550000;TAK;Smolna 9;00-375;Warszawa;mazowieckie;Polska;1,2;NA
1530;M10325953504;31.07.2021;30.07.2022;7,00E+05;TAK;Dożynkowa 37;52-311;Wrocław;dolnośląskie;Polska;1,2;NA
1531;M10325958204;28.07.2021;27.07.2022;183000;TAK;Zofii Nałkowskiej 9;93-262;Łódź;łódzkie;Polska;1,2;NA
1532;M10325966804;11.08.2021;10.08.2022;475000;TAK;Droga Kujawska 15;86-300;Grudziądz;kujawsko-pomorskie;Polska;1,2;NA
1533;M10325967304;01.08.2021;31.07.2022;470000;TAK;Zygmunta Krasińskiego 18;01-581;Warszawa;mazowieckie;Polska;1,2;NA
1534;M10325967504;01.08.2021;31.07.2022;380000;TAK;Stefana Szolc-Rogozińskiego 19;02-777;Warszawa;mazowieckie;Polska;1,2;NA
1535;M10325968304;01.08.2021;31.07.2022;360000;TAK;Iwicka 47A;00-735;Warszawa;mazowieckie;Polska;1,2;NA
1536;M10326473004;18.08.2021;17.08.2022;420000;TAK;Rycerza Blizbora 22;80-177;Gdańsk;pomorskie;Polska;1,2;NA
1537;M10326737404;01.09.2021;31.08.2022;640000;TAK;Prymasa Augusta Hlonda 2C;02-972;Warszawa;mazowieckie;Polska;1,2;NA
1538;M10326745004;01.08.2021;31.07.2022;410000;TAK;Aleja Jerzego Waszyngtona 98;04-015;Warszawa;mazowieckie;Polska;1,2;NA
1539;M10327186204;01.08.2021;31.07.2022;360000;TAK;Racławicka 29a;02-601;Warszawa;mazowieckie;Polska;1,2;NA
1540;M10327249404;27.07.2021;26.07.2022;599000;TAK;Garażowa 5;02-651;Warszawa;mazowieckie;Polska;1,2;NA
1541;M10327541404;10.08.2021;09.08.2022;5,00E+05;TAK;Staropolska 945/5;32-851;Jadowniki;małopolskie;Polska;1,2;NA
1542;M1032767410;20.09.2021;19.09.2022;650000;TAK;Jabłkowa 3;62-007;Biskupice;wielkopolskie;Polska;1,2;NA
1543;M1032776910;01.06.2021;31.05.2022;810000;TAK;Główna 100;42-620;Nakło Śląskie;śląskie;Polska;1,2;NA
1544;M1032781110;28.05.2021;27.05.2022;490000;TAK;Mazowiecka 25i;05-850;Macierzysz;mazowieckie;Polska;1,2;NA
1545;M10327882704;06.08.2021;05.08.2022;365000;TAK;Zielona 49a;43-354;Czaniec;śląskie;Polska;1,2;NA
1546;M10327892303;23.06.2021;22.06.2022;6,00E+05;TAK;Tworzeń 163;41-303;Dąbrowa Górnicza;śląskie;Polska;1,2;NA
1547;M10327896804;28.07.2021;27.07.2022;3,00E+05;TAK;Radoszowska 18;44-293;Szczerbice;śląskie;Polska;1,2;NA
1548;M1032809210;01.06.2021;31.05.2022;340000;TAK;Poznańska 7/3;62-070;Konarzewo;wielkopolskie;Polska;1,2;NA
1549;M10328161304;07.08.2021;06.08.2022;170000;TAK;Piastowskie 5;77-300;Człuchów;pomorskie;Polska;1,2;NA
1550;M10328330604;27.07.2021;26.07.2022;185000;TAK;Miśnieńska 33;64-100;Leszno;wielkopolskie;Polska;1,2;NA
1551;M10329017504;29.07.2021;28.07.2022;150000;TAK;Maratońska 83;94-007;Łódź;łódzkie;Polska;1,2;NA
1552;M1032967210;27.05.2021;26.05.2022;50500;TAK;Ks. Piotra Ściegiennego 25;70-354;Szczecin;zachodniopomorskie;Polska;1,2;NA
1553;M10329922804;01.08.2021;31.07.2022;460000;TAK;Północna 43;69-100;Słubice;lubuskie;Polska;1,2;NA
1554;M10330008504;18.08.2021;17.08.2022;80000;TAK;Aleja Rzeczypospolitej 27a;02-972;Warszawa;mazowieckie;Polska;1,2;NA
1555;M10330014404;28.07.2021;27.07.2022;210000;TAK;Sarmacka 16f;61-616;Poznań;wielkopolskie;Polska;1,2;NA
1556;M10330373104;28.07.2021;27.07.2022;470000;TAK;Rakowska 14a;02-237;Warszawa;mazowieckie;Polska;1,2;NA
1557;M1033039210;12.06.2021;11.06.2022;275000;TAK;Snopkowska 8;20-067;Lublin;lubelskie;Polska;1,2;NA
1558;M1033075610;11.06.2021;10.06.2022;3,00E+05;TAK;Niezłomnych 31;62-030;Luboń;wielkopolskie;Polska;1,2;NA
1559;M1033086110;02.06.2021;01.06.2022;4,00E+05;TAK;Zielony Stok 27;80-119;Gdańsk;pomorskie;Polska;1,2;NA
1560;M1033113010;12.06.2021;11.06.2022;190000;TAK;Niemcewicza 32a;50-350;Wrocław;dolnośląskie;Polska;1,2;NA
1561;M1033114410;05.06.2021;04.06.2022;110000;TAK;Józefa Piłsudskiego 14;82-500;Kwidzyn;pomorskie;Polska;1,2;NA
1562;M1033123210;05.06.2021;04.06.2022;4,00E+05;TAK;Zielona 5b;43-410;Kończyce Małe;śląskie;Polska;1,2;NA
1563;M1033222710;05.06.2021;04.06.2022;130000;TAK;Józefa Piłsudskiego 14;82-500;Kwidzyn;pomorskie;Polska;1,2;NA
1564;M1033224010;02.06.2021;01.06.2022;155000;TAK;Kościuszki 2;64-300;Nowy Tomyśl;wielkopolskie;Polska;1,2;NA
1565;M1033246610;02.06.2021;01.06.2022;350000;TAK;Dębowa 10;86-300;Grudziądz;kujawsko-pomorskie;Polska;1,2;NA
1566;M1033247010;20.05.2021;19.05.2022;420000;TAK;Lidzbarska 29;54-111;Wrocław;dolnośląskie;Polska;1,2;NA
1567;M1033248910;01.06.2021;31.05.2022;3,00E+05;TAK;Elbląska 33;14-500;Braniewo;warmińsko-mazurskie;Polska;1,2;NA
1568;M1033252710;05.06.2021;04.06.2022;270000;TAK;Szydłowska 21;60-651;Poznań;wielkopolskie;Polska;1,2;NA
1569;M1033280510;01.06.2021;31.05.2022;170000;TAK;Drukarska 26;53-312;Wrocław;dolnośląskie;Polska;1,2;NA
1570;M1033281710;02.06.2021;01.06.2022;360000;TAK;Szpitalna 55a;05-091;Ząbki;mazowieckie;Polska;1,2;NA
1571;M10333481804;27.07.2021;26.07.2022;365000;TAK;Batalionu AK Parasol 12;01-118;Warszawa;mazowieckie;Polska;1,2;NA
1572;M10333506804;01.08.2021;31.07.2022;350000;TAK;Powstańców Warszawskich 3;80-152;Gdańsk;pomorskie;Polska;1,2;NA
1573;M10333624604;28.07.2021;27.07.2022;170000;TAK;Grabieniec 16;91-149;Łódź;łódzkie;Polska;1,2;NA
1574;M10333664104;01.08.2021;31.07.2022;1100000;TAK;Leśna 15;05-430;Pogorzel;mazowieckie;Polska;1,2;NA
1575;M1033387110;02.06.2021;01.06.2022;175000;TAK;Długa 51;72-304;Brojce;zachodniopomorskie;Polska;1,2;NA
1576;M1033388610;30.05.2021;29.05.2022;260000;TAK;Nad Potokiem 1;57-343;Lewin Kłodzki;dolnośląskie;Polska;1,2;NA
1577;M1033400110;12.06.2021;11.06.2022;950000;TAK;Wiosenna 15;80-178;Gdańsk;pomorskie;Polska;1,2;NA
1578;M1033416110;02.06.2021;01.06.2022;375000;TAK;Wenus 8;72-006;Mierzyn;zachodniopomorskie;Polska;1,2;NA
1579;M1033417410;17.05.2021;16.05.2022;70000;TAK;Kolista 12;54-152;Wrocław;dolnośląskie;Polska;1,2;NA
1580;M10334412804;01.08.2021;31.07.2022;265000;TAK;Warszawska 40;08-400;Garwolin;mazowieckie;Polska;1,2;NA
1581;M1033536410;01.09.2021;31.08.2022;860000;TAK;Wierzbowa 37;05-082;Kwirynów;mazowieckie;Polska;1,2;NA
1582;M10336377104;01.08.2021;31.07.2022;140000;TAK;Wojska Polskiego 18;82-550;Prabuty;pomorskie;Polska;1,2;NA
1583;M10336379504;31.07.2021;30.07.2022;320000;TAK;Chabrowa 67;52-200;Wysoka;dolnośląskie;Polska;1,2;NA
1584;M10336385804;10.08.2021;09.08.2022;370000;TAK;Bernarda Śliwińskiego 2;85-843;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;NA
1585;M10336391404;01.08.2021;31.07.2022;290000;TAK;Osiedle Przylesie 93;62-035;Błażejewo;wielkopolskie;Polska;1,2;NA
1586;M10336406004;29.07.2021;28.07.2022;720000;TAK;Leśna 13;89-100;Nakło nad Notecią;kujawsko-pomorskie;Polska;1,2;NA
1587;M1033648910;21.06.2021;20.06.2022;5,00E+05;TAK;Zielono Górska 69a;66-001;Zawada;lubuskie;Polska;1,2;NA
1588;M10336635304;23.08.2021;22.08.2022;770000;TAK;Widokowa 15;81-198;Mosty;pomorskie;Polska;1,2;NA
1589;M1033668110;22.06.2021;21.06.2022;1,00E+06;TAK;Szybowa 8;32-540;Trzebinia;małopolskie;Polska;1,2;NA
1590;M1033678710;24.05.2021;23.05.2022;170000;TAK;Józefa Poniatowskiego 3;44-100;Gliwice;śląskie;Polska;1,2;NA
1591;M1033688910;05.08.2021;04.08.2022;380000;TAK;Rynkowa 10;34-360;Milówka;śląskie;Polska;1,2;NA
1592;M1033743610;21.06.2021;20.06.2022;3,00E+05;TAK;Husarska 7;05-120;Legionowo;mazowieckie;Polska;1,2;NA
1593;M10337472004;05.08.2021;04.08.2022;530000;TAK;Juliana Bruna 9;02-594;Warszawa;mazowieckie;Polska;1,2;NA
1594;M1033749310;05.06.2021;04.06.2022;180000;TAK;30lecia 8;32-310;Klucze;małopolskie;Polska;1,2;NA
1595;M1033749610;24.05.2021;23.05.2022;1,00E+05;TAK;Grzybowa 1;32-500;Chrzanów;małopolskie;Polska;1,2;NA
1596;M10338037604;02.08.2021;01.08.2022;350000;TAK;Spacerowa 91;27-300;Lipsko;mazowieckie;Polska;1,2;NA
1597;M1033808510;17.05.2021;16.05.2022;190000;TAK;Moniuszki 11;42-584;Dobieszowice;śląskie;Polska;1,2;NA
1598;M10338101104;01.09.2021;31.08.2022;2,00E+05;TAK;Jugosłowiańska 48B;60-149;Poznań;wielkopolskie;Polska;1,2;NA
1599;M10338494604;28.07.2021;27.07.2022;140000;TAK;Karola Szymanowskiego 12-14-16;43-600;Jaworzno;śląskie;Polska;1,2;NA
1600;M1033856710;02.06.2021;01.06.2022;550000;TAK;Nysy 14a;70-846;Szczecin;zachodniopomorskie;Polska;1,2;NA
1601;M1033861110;19.05.2021;18.05.2022;210000;TAK;Jurija Gagarina 2;26-611;Radom;mazowieckie;Polska;1,2;NA
1602;M1033895710;22.06.2021;21.06.2022;490000;TAK;Kopernika 11;77-230;Kępice;pomorskie;Polska;1,2;NA
1603;M1033900710;14.06.2021;13.06.2022;480000;TAK;Nowodworska 27A;03-133;Warszawa;mazowieckie;Polska;1,2;NA
1604;M1033905010;21.06.2021;20.06.2022;210000;TAK;Skarbka z Gór 132E;03-287;Warszawa;mazowieckie;Polska;1,2;NA
1605;M1033905810;20.06.2021;19.06.2022;280000;TAK;Brzózki 22;72-022;Brzózki;zachodniopomorskie;Polska;1,2;NA
1606;M10339180704;30.07.2021;29.07.2022;1,00E+05;TAK;Odrodzenia 17;89-400;Sępólno Krajeńskie;kujawsko-pomorskie;Polska;1,2;NA
1607;M1033960310;22.06.2021;21.06.2022;475000;TAK;Powstańców Śląskich 19A;92-111;Łódź;łódzkie;Polska;1,2;NA
1608;M10339818504;30.07.2021;29.07.2022;280000;TAK;Jastrzębniki 20;64-330;Jastrzębniki;wielkopolskie;Polska;1,2;NA
1609;M1034005110;16.06.2021;15.06.2022;425000;TAK;Wieś,Potoczyzna 35;19-100;Mońki;podlaskie;Polska;1,2;NA
1610;M10340345004;30.07.2021;29.07.2022;160000;TAK;Piękna 6;99-412;Kiernozia;łódzkie;Polska;1,2;NA
1611;M10340431604;07.08.2021;06.08.2022;125000;TAK;Piastowskie 6;77-300;Człuchów;pomorskie;Polska;1,2;NA
1612;M1034096510;31.05.2021;30.05.2022;140000;TAK;Kardynała Stefana Wyszyńskiego 27;44-300;Wodzisław Śląski;śląskie;Polska;1,2;NA
1613;M1034098110;02.06.2021;01.06.2022;140000;TAK;Szczęśliwa 33;47-400;Racibórz;śląskie;Polska;1,2;NA
1614;M1034099510;27.05.2021;26.05.2022;220000;TAK;Jacinki 4;76-010;Polanów;zachodniopomorskie;Polska;1,2;NA
1615;M1034104410;08.06.2021;07.06.2022;220000;TAK;Pasterska 22;61-625;Poznań;wielkopolskie;Polska;1,2;NA
1616;M1034121510;10.06.2021;09.06.2022;370000;TAK;Czeladnicza 17;04-743;Warszawa;mazowieckie;Polska;1,2;NA
1617;M1034126010;20.05.2021;19.05.2022;520000;TAK;Polna 26;91-328;Łódź;łódzkie;Polska;1,2;NA
1618;M1034129810;02.06.2021;01.06.2022;5,00E+05;TAK;Nowy Świat 10B;05-620;Błędów;mazowieckie;Polska;1,2;NA
1619;M1034155310;16.06.2021;15.06.2022;530000;TAK;Szafirowa 4;05-540;Jeziórko;mazowieckie;Polska;1,2;NA
1620;M1034156710;20.05.2021;19.05.2022;240000;TAK;Zarzewska 13;93-184;Łódź;łódzkie;Polska;1,2;NA
1621;M1034156810;08.06.2021;07.06.2022;180000;TAK;Korczoka 72c;41-806;Zabrze;śląskie;Polska;1,2;NA
1622;M1034160810;08.06.2021;07.06.2022;285000;TAK;Dokerska 20;54-142;Wrocław;dolnośląskie;Polska;1,2;NA
1623;M1034161510;08.06.2021;07.06.2022;165000;TAK;Szarytek 8;63-000;Środa Wielkopolska;wielkopolskie;Polska;1,2;NA
1624;M1034161710;05.06.2021;04.06.2022;220000;TAK;Antoniego Magiera 25;01-856;Warszawa;mazowieckie;Polska;1,2;NA
1625;M1034195910;14.06.2021;13.06.2022;410000;TAK;Kobielska 23;04-359;Warszawa;mazowieckie;Polska;1,2;NA
1626;M1034210010;25.07.2021;24.07.2022;340000;TAK;Rzemieślnicza 3;59-800;Lubań Śląski;dolnośląskie;Polska;1,2;NA
1627;M10342256804;13.08.2021;12.08.2022;237000;TAK;Wojska Polskiego 28;05-500;Piaseczno;mazowieckie;Polska;1,2;NA
1628;M10342458204;31.07.2021;30.07.2022;250000;TAK;Romanowska 55h;91-174;Łódź;łódzkie;Polska;1,2;NA
1629;M10342470304;30.07.2021;29.07.2022;410000;TAK;Boguchwałów 63;48-100;Boguchwałów;opolskie;Polska;1,2;NA
1630;M10342811804;29.07.2021;28.07.2022;110000;TAK;Nowy Jasiniec 41;86-010;Nowy Jasiniec;kujawsko-pomorskie;Polska;1,2;NA
1631;M10342915204;30.08.2021;29.08.2022;140000;TAK;Wzgórze Grota-Roweckiego 2;58-500;Jelenia Góra;dolnośląskie;Polska;1,2;NA
1632;M10342919904;09.08.2021;08.08.2022;180000;TAK;Szarych Szeregów 4;63-700;Krotoszyn;wielkopolskie;Polska;1,2;NA
1633;M10342928204;01.11.2021;31.10.2022;245000;TAK;Bursztynowa 8;20-576;Lublin;lubelskie;Polska;1,2;NA
1634;M1034322210;19.05.2021;18.05.2022;475000;TAK;Marii Skłodowskiej-Curie 39;05-800;Pruszków;mazowieckie;Polska;1,2;NA
1635;M1034323810;01.06.2021;31.05.2022;360000;TAK;Aleja Niepodległości 201;36-060;Głogów Małopolski;podkarpackie;Polska;1,2;NA
1636;M1034349210;02.06.2021;01.06.2022;6,00E+05;TAK;Józsefa Antalla 6;03-126;Warszawa;mazowieckie;Polska;1,2;NA
1637;M10343823804;01.08.2021;31.07.2022;340000;TAK;Sportowców 44;41-711;Ruda Śląska;śląskie;Polska;1,2;NA
1638;M10343863504;07.08.2021;06.08.2022;420000;TAK;Mokierska 13C;43-173;Łaziska Górne;śląskie;Polska;1,2;NA
1639;M1034402910;23.06.2021;22.06.2022;275000;TAK;Szafranowa 14b;81-591;Gdynia;pomorskie;Polska;1,2;NA
1640;M1034418910;12.06.2021;11.06.2022;160000;TAK;Bohaterów Westerpllate 24;77-400;Złotów;wielkopolskie;Polska;1,2;NA
1641;M1034428010;03.08.2021;02.08.2022;640000;TAK;Olsztyńska 3B;80-395;Gdańsk;pomorskie;Polska;1,2;NA
1642;M1034482210;03.06.2021;02.06.2022;7,00E+05;TAK;Świerkowa 26;05-430;Pogorzel;mazowieckie;Polska;1,2;NA
1643;M10345090004;29.07.2021;28.07.2022;371400;TAK;Hansa Poelziga 10;54-115;Wrocław;dolnośląskie;Polska;1,2;NA
1644;M10345113904;29.07.2021;28.07.2022;163200;TAK;Wrocławska 49e;15-644;Białystok;podlaskie;Polska;1,2;NA
1645;M10345248504;28.07.2021;27.07.2022;425000;TAK;Gruszkowa 7;62-025;Siekierki Wielkie;wielkopolskie;Polska;1,2;NA
1646;M1034529410;16.06.2021;15.06.2022;155000;TAK;Szpitalna 1;44-120;Pyskowice;śląskie;Polska;1,2;NA
1647;M10345630004;05.08.2021;04.08.2022;210000;TAK;Odkryta 48c;03-140;Warszawa;mazowieckie;Polska;1,2;NA
1648;M1034599910;01.07.2021;30.06.2022;190000;TAK;Piaskowa 1;05-119;Legionowo;mazowieckie;Polska;1,2;NA
1649;M1034677810;24.06.2021;23.06.2022;650000;TAK;Stanisława Wojciechowskiego 39;02-495;Warszawa;mazowieckie;Polska;1,2;NA
1650;M1034683110;13.06.2021;12.06.2022;1,00E+05;TAK;Gnieźnieńska 8;88-430;Janowiec Wielkopolski;kujawsko-pomorskie;Polska;1,2;NA
1651;M1034694810;14.06.2021;13.06.2022;352000;TAK;Zakopiańska 20;80-142;Gdańsk;pomorskie;Polska;1,2;NA
1652;M10347914604;29.07.2021;28.07.2022;410000;TAK;Stoczek 16a;08-410;Stoczek;mazowieckie;Polska;1,2;NA
1653;M10347999204;28.07.2021;27.07.2022;975000;TAK;gen. Tadeusza Pełczyńskiego 14;01-471;Warszawa;mazowieckie;Polska;1,2;NA
1654;M1034807010;09.06.2021;08.06.2022;350000;TAK;Rybnicka 53;44-293;Szczerbice;śląskie;Polska;1,2;NA
1655;M1034820210;12.07.2021;11.07.2022;3,00E+05;TAK;Jana Pestalozziego 30;80-445;Gdańsk;pomorskie;Polska;1,2;NA
1656;M1034825710;17.06.2021;16.06.2022;340000;TAK;Malborska 8;03-286;Warszawa;mazowieckie;Polska;1,2;NA
1657;M1034830310;17.06.2021;16.06.2022;364000;TAK;Okocimska 4;01-114;Warszawa;mazowieckie;Polska;1,2;NA
1658;M1034855810;18.06.2021;17.06.2022;170000;TAK;Polskiej Organizacji Wojskowej 17;87-800;Włocławek;kujawsko-pomorskie;Polska;1,2;NA
1659;M1034859810;21.09.2021;20.09.2022;310000;TAK;Częstochowska 2;44-100;Gliwice;śląskie;Polska;1,2;NA
1660;M1034910310;24.05.2021;23.05.2022;180000;TAK;Kraczewicka 28a;24-320;Poniatowa;lubelskie;Polska;1,2;NA
1661;M10349451204;14.08.2021;13.08.2022;250873;TAK;Kozacka 13;87-100;Toruń;kujawsko-pomorskie;Polska;1,2;NA
1662;M10349481104;31.07.2021;30.07.2022;810000;TAK;Szklarniowa 15c;61-680;Poznań;wielkopolskie;Polska;1,2;NA
1663;M10349500404;29.07.2021;28.07.2022;465000;TAK;Skrajna 3;64-500;Szamotuły;wielkopolskie;Polska;1,2;NA
1664;M10350797104;21.08.2021;20.08.2022;420000;TAK;Grodzisko 43C;64-113;Grodzisko;wielkopolskie;Polska;1,2;NA
1665;M10351313504;01.08.2021;31.07.2022;260000;TAK;Batalionów Chłopskich 77C;01-305;Warszawa;mazowieckie;Polska;1,2;NA
1666;M10351360404;29.07.2021;28.07.2022;220000;TAK;Ogrodowa 36;14-400;Pasłęk;warmińsko-mazurskie;Polska;1,2;NA
1667;M10351931404;01.08.2021;31.07.2022;60000;TAK;Wał Miedzeszyński 233;04-866;Warszawa;mazowieckie;Polska;1,2;NA
1668;M10352241104;20.08.2021;19.08.2022;155350;TAK;Osiedle Sikorskiego 25B;44-240;Żory;śląskie;Polska;1,2;NA
1669;M10352246104;29.07.2021;28.07.2022;430000;TAK;Krosińska 46;62-050;Krosno;wielkopolskie;Polska;1,2;NA
1670;M1035229110;09.06.2021;08.06.2022;1,00E+05;TAK;Parkowa 10;64-700;Gębice;wielkopolskie;Polska;1,2;NA
1671;M10352298604;29.07.2021;28.07.2022;380000;TAK;Stanowiska 64A;26-212;Stanowiska;świętokrzyskie;Polska;1,2;NA
1672;M1035241910;25.06.2021;24.06.2022;220000;TAK;Piekarska 8;41-506;Chorzów;śląskie;Polska;1,2;NA
1673;M1035261410;13.06.2021;12.06.2022;2,00E+05;TAK;Obrońców Wybrzeża 6d;80-398;Gdańsk;pomorskie;Polska;1,2;NA
1674;M1035267010;17.06.2021;16.06.2022;2,00E+05;TAK;Os. Zachód A2/D/;73-110;Stargard Szczeciński;zachodniopomorskie;Polska;1,2;NA
1675;M1035267210;23.06.2021;22.06.2022;350000;TAK;Zgierska 4;04-092;Warszawa;mazowieckie;Polska;1,2;NA
1676;M1035267810;30.05.2021;29.05.2022;8,00E+05;TAK;Pelplińska 7;60-446;Poznań;wielkopolskie;Polska;1,2;NA
1677;M1035268210;15.06.2021;14.06.2022;2,00E+05;TAK;Targowa 16;25-520;Kielce;świętokrzyskie;Polska;1,2;NA
1678;M1035288910;28.06.2021;27.06.2022;2,00E+05;TAK;Żmudzka 45;85-028;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;NA
1679;M1035312710;13.07.2021;12.07.2022;70000;TAK;Cieszkowskiego Augusta 4;93-504;Łódź;łódzkie;Polska;1,2;NA
1680;M10353175204;03.08.2021;02.08.2022;360000;TAK;Lotnicza 31;42-300;Myszków;śląskie;Polska;1,2;NA
1681;M1035340810;23.05.2021;22.05.2022;185000;TAK;Andrzeja Czapskiego 12;09-500;Gostynin;mazowieckie;Polska;1,2;NA
